箱番,商品No,商品名
11,8,CONTAX RTSⅡ　（183577）
11,9,Nikon FE （3352107）
11,10,Nikon FE （3510891）
12,1,CONTAX　Biogpn 21mm　ｆ2.8　ファインダー付き　ブラック　（8183260）
12,2,CONTAX　Planar　50ｍｍ　ｆ1.4　ＡＥＪ　（6036747）
12,3,CONTAX　Distagon　25ｍｍ　ｆ2.8　ＡＥＪ　（814762）
12,4,CONTAX　Sonnar　135ｍｍ　ｆ2.8　ＡＥＪ　（8080896）
12,5,CONTAX　Sonnar　135ｍｍ　ｆ2.8　MMJ　（7368127）
12,6,CONTAX　Sonnar　135ｍｍ　ｆ2.8　MMJ　（6600906）
12,7,CONTAX　Sonnar　180ｍｍ　ｆ2.8　MMJ　（7453381）
12,8,CONTAX　Sonnar　180ｍｍ　ｆ2.8　MMJ　（7245709）
12,9,CONTAX　Vario-Sonnar　80-200ｍｍ　ｆ4　MMJ　（7289073）
12,10,CONTAX　Vario-Sonnar　80-200ｍｍ　ｆ4　MMJ　（7220832）
13,1,Panasonic　LUMIX　G　VARIO　14-140ｍｍ　ｆ3.5-5.6　ＡＳＰＨ　（ＨＮ６ＧＣ007952）
13,2,OLYMPUS　14-42ｍｍ　ｆ3.5-5.6　Ⅱ　Ｒ　ＭＳＣ　（ＡＢＧ349673）
13,3,OLYMPUS　14-42ｍｍ　ｆ3.5-5.6　Ⅱ　　ＭＳＣ　（AB8208581）
13,4,Canon　EOS RT / EOS RT / EOS KISS PANORAMA / EOS 5/ CANON T70
13,5,Canon EOS KISS Ⅲ / EF 28-80mm F3.5-5.6 Ⅴ USM / PENTAX MZ-30 / SMC PENTAX-F 35-80mm F4-5.6
13,6,Nikon　F5　50周年記念モデル　（3111078）
13,7,Nikon　COOLPIX S8000　（22005306）
13,8,PENTAX　OPTIO　Wpi　（9806502）
13,9,Kenko　KC-AF11　（20241007195）
13,10,Leitz SB00i 50mm　ファインダー
14,1,SONY FE 85mm f1.4 GM/1807694
14,2,Panasonic DMC-FZ1000 FC5SB002089
14,3,SONY DSC-W300 3013712
14,4,Nikon S3 ブラック チタン幕+NIKKOR-S 5cm f1.4 6321769　401988
14,5,Nikon M +NIKKOR-S・C 5cm f1.4 M6093447 323580
14,6,Nikon NIKKOR-P・C 8.5cm f2 286831
14,7,Nikon S+NIKKOR-S・C 5cm f1.4 6096352 50051934
14,8,OLYMPUS E-PL6+M.ZUIKO DIGITAL 14-42mm f3.5-5.6EZ V5VF17269
14,9,Canon EF 28-70mm f2.8 USM 128355
14,10,Canon EF 24-70mm f4 L IS USM 0613003206
15,1,Nikon S3M ブラック / 1:14 f=5cm (417668) +NIKKOR-S 5cm F1.4 (6600073)
15,2,SONY FS7II PXW-FS7M2 (0010024)
15,3,PENTACON Six TL + Carl Zeiss Jena DDR MC Biometar 80mm F2.8/80 (187554)
15,4,Leica IIIf (591745)
15,5,Nikon F 初期 アイレベル (6433659)
15,6,Konica Pearl III (1762560)
15,7,OLYMPUS OM-D E-M10 (V5PG33091)
15,8,CASIO EX-ZR4100 (10001040A)
15,9,CONTAX TLA200 (6121731)
15,10,Minolta New X-700 (1934028)
16,1,Canon IXY Digital 55 (-)
16,2,CASIO EX-H20GSR (10019916A)
16,3,Nikon COOLPIX S8 (20508891)
16,4,Nikon COOLPIX S510 (25127771)
16,5,OLYMPUS μ PANORAMA (1080907)
16,6,OLYMPUS AF-10 SUPER (1901523)
16,7,Canon AF35M (1038665)
16,8,PENTAX ESPIO 120SW II (5782869)
16,9,Konica Big mini NOU 135 (1853772)
